site_id,lon,lat,season,EC_uS_cm,pH,temp_C,NO3_ppm,Na_ppm,Ca_ppm,K_ppm,Mg_ppm,S_ppm,Sr_ppm
1,0.06898,51.63579,summer,746,7.71,15.0,10.0,51.1745,96.9683,12.363,9.8957,43.1561,0.5126
2,0.06567,51.63392,summer,873,7.79,13.5,10.0,52.0772,97.0806,12.9915,9.9674,43.4791,0.5089
3,0.05997,51.63138,summer,465,8.62,15.2,0.0,23.4054,47.1957,4.561,10.9764,18.2496,0.2217
4,0.05089,51.62288,summer,808,7.86,13.5,10.0,51.4818,90.3813,12.1454,9.7693,42.5727,0.4856
5,0.04127,51.58892,summer,970,7.7,16.0,10.0,58.7725,106.5439,13.7221,11.6032,50.6943,0.5583
6,0.04095,51.58445,summer,914,7.67,15.3,20.0,,,,,,
7,0.04223,51.57746,summer,825,7.83,15.3,15.0,,,,,,
8,0.0516885,51.5638442,summer,908,8.09,13.4,7.0,,,,,,
9,0.0658486,51.5567963,summer,903,7.9,13.6,12.0,55.5656,103.9928,13.5604,10.5622,46.5362,0.5355
10,0.0692818,51.540234,summer,968,7.71,14.1,15.0,,,,,,
11,0.0709582,51.5372681,summer,1110,7.7,14.0,15.0,60.0974,85.4951,11.9374,10.3854,43.1104,0.6359
12,0.0731378,51.5337744,summer,1807,7.74,14.3,20.0,66.5858,99.9662,12.7565,11.4026,46.4051,0.6524
13,0.0755981,51.5304899,summer,3728,7.75,14.2,20.0,2490.8115,148.796,95.9244,223.2981,265.445,1.6471
14,0.076281,51.5300106,summer,3999,7.87,14.6,20.0,1022.2899,122.1696,42.3212,94.7514,127.8554,0.9526
15,0.0755981,51.5304899,summer,3999,7.74,16.1,45.0,,,,,,
16,0.09416,51.51762,summer,3999,7.59,16.2,20.0,3278.4206,179.544,133.888,286.2799,366.7013,2.2969
17,0.07321,51.53335,summer,3999,7.71,15.9,25.0,,,,,,
18,0.0708727,51.5374024,summer,916,7.67,14.7,15.0,,,,,,
19,0.0717524,51.5360531,summer,1040,7.63,15.2,18.0,,,,,,
20,0.074075,51.53359,summer,2555,7.61,14.0,20.0,,,,,,
21,0.0690374,51.6358404,winter,856,7.95,11.3,7.0,48.0026,106.0007,11.4054,10.3754,50.836,0.4762
22,0.0627392,51.6328377,winter,846,7.97,11.4,7.0,,,,,,
23,0.063215,51.6314407,winter,456,8.65,11.2,,,,,,,
24,0.0629679,51.6310869,winter,831,7.99,11.0,5.0,,,,,,
25,0.060221,51.629024,winter,828,8.0,11.1,5.0,,,,,,
26,0.060005,51.628781,winter,849,7.99,11.3,3.0,,,,,,
27,0.0520292,51.621287,winter,831,8.03,11.5,3.0,,,,,,
28,0.0473018,51.5696796,winter,803,8.01,11.5,3.0,,,,,,
29,0.2733067,51.7376014,winter,930,7.62,9.7,12.0,17.6809,150.8513,5.7289,4.9586,36.6291,0.393
30,0.2174051,51.6747269,winter,914,7.76,9.8,7.0,29.0217,128.388,7.8841,9.0913,49.572,0.4363
31,0.1183666,51.6517227,winter,842,7.83,10.4,10.0,34.5466,102.8447,9.342,9.5418,49.4028,0.3966
32,0.0690632,51.635845,winter,674,7.68,8.4,10.0,,,,,,
33,0.0670847,51.634231,winter,553,7.62,8.7,10.0,,,,,,
34,0.0658331,51.6337829,winter,671,7.87,8.0,10.0,,,,,,
35,0.0629756,51.6311002,winter,669,7.87,8.4,12.0,,,,,,
36,0.0598213,51.6286613,winter,660,7.93,7.93,15.0,,,,,,
37,0.0512795,51.620026,winter,701,7.91,7.9,20.0,,,,,,
38,0.0658854,51.5568607,winter,709,7.91,8.3,25.0,,,,,,
